source,target,value
black,coll,0.3303685089179485
male,coll,0.2858958250251477
25,coll,0.38373566605690385
black,jail,0.4007042754059428
male,jail,0.34606278330513235
25,jail,0.25323294128892493
black,kfr,0.5369515631583792
male,kfr,0.12124712716479531
25,kfr,0.34180130967682554
